172.16.0.165 - - [13/Mar/2018:15:23:38 +0530] "GET /IT_Company_Locator/newjsp.jsp?send=dubai HTTP/1.1" 200 27721
172.16.0.165 - - [13/Mar/2018:15:26:19 +0530] "GET /IT_Company_Locator/newjsp.jsp?send=jalandhar HTTP/1.1" 200 25345
172.16.0.165 - - [13/Mar/2018:15:26:52 +0530] "GET /IT_Company_Locator/newjsp.jsp?send=malsian HTTP/1.1" 200 25343
172.16.0.165 - - [13/Mar/2018:15:27:21 +0530] "GET /IT_Company_Locator/newjsp.jsp?send=alaska HTTP/1.1" 200 23126
172.16.0.165 - - [13/Mar/2018:15:27:55 +0530] "GET /IT_Company_Locator/newjsp.jsp?send=galway HTTP/1.1" 200 27505
172.16.0.165 - - [13/Mar/2018:15:28:18 +0530] "GET /IT_Company_Locator/newjsp.jsp?send=atlantic HTTP/1.1" 200 27507
127.0.0.1 - - [13/Mar/2018:16:17:29 +0530] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - suraj [13/Mar/2018:16:17:30 +0530] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [13/Mar/2018:16:17:30 +0530] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - suraj [13/Mar/2018:16:17:30 +0530] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [13/Mar/2018:16:17:31 +0530] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - suraj [13/Mar/2018:16:17:31 +0530] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - suraj [13/Mar/2018:16:17:32 +0530] "GET /manager/text/list HTTP/1.1" 200 952
127.0.0.1 - suraj [13/Mar/2018:16:17:39 +0530] "GET /manager/text/reload?path=/ITCompanyLocator12_1 HTTP/1.1" 200 78
127.0.0.1 - - [13/Mar/2018:16:17:39 +0530] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - suraj [13/Mar/2018:16:17:39 +0530] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [13/Mar/2018:18:05:42 +0530] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - suraj [13/Mar/2018:18:05:42 +0530] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [13/Mar/2018:18:05:42 +0530] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - suraj [13/Mar/2018:18:05:42 +0530] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [13/Mar/2018:18:05:42 +0530] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - suraj [13/Mar/2018:18:05:42 +0530] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - suraj [13/Mar/2018:18:05:42 +0530] "GET /manager/text/list HTTP/1.1" 200 952
127.0.0.1 - suraj [13/Mar/2018:18:05:44 +0530] "GET /manager/text/reload?path=/ITCompanyLocator12_1 HTTP/1.1" 200 78
127.0.0.1 - - [13/Mar/2018:18:05:44 +0530] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - suraj [13/Mar/2018:18:05:44 +0530] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [13/Mar/2018:18:23:53 +0530] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - suraj [13/Mar/2018:18:23:53 +0530] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - suraj [13/Mar/2018:18:23:53 +0530] "GET /manager/text/list HTTP/1.1" 200 952
127.0.0.1 - suraj [13/Mar/2018:18:23:53 +0530] "GET /manager/text/list HTTP/1.1" 200 952
